Artifact,Final Score,Prediction,Actual Status
commander.js-master.zip,7.3,APPROVED,SAFE
pytest-main.zip,7.3,APPROVED,SAFE
ansible-devel.zip,4.6,REJECTED,SAFE
pandas-main.zip,10.0,APPROVED,SAFE
requests-main.zip,8.55,APPROVED,SAFE
urllib3-main.zip,5.85,APPROVED,SAFE
numpy-main.zip,7.3,APPROVED,SAFE
scikit-learn-main.zip,10.0,APPROVED,SAFE
django-main.zip,7.3,APPROVED,SAFE
chalk-main.zip,7.3,APPROVED,SAFE
axios-1.x.zip,4.6,REJECTED,SAFE
express-master.zip,7.3,APPROVED,SAFE
flask-main.zip,4.6,REJECTED,SAFE
lodash-main.zip,7.3,APPROVED,SAFE
core-main.zip,4.6,REJECTED,SAFE
mocha-main.zip,4.6,REJECTED,SAFE
moment-develop.zip,7.3,APPROVED,SAFE
